ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
218,M,56.0,CBSE,47.0,CBSE,Science,61.17,Management,0,MAT,1,46.92,46.92,62.4,Marketing & Finance,60,66,56
219,F,84.0,Others,77.0,Others,Commerce,80.0,Commerce,0,,0,0.0,0.0,66.61,Marketing & Finance,70,77,83
220,F,59.0,CBSE,74.0,CBSE,Arts,59.0,Management,1,,0,0.0,0.0,63.83,Marketing & HR,50,59,77
221,F,76.0,Others,50.0,Others,Science,75.0,Computer Applications,1,,0,0.0,0.0,66.0,Marketing & HR,60,66,75
222,M,75.0,CBSE,60.0,CBSE,Science,69.0,Computer Applications,1,CAT,1,80.0,80.0,66.39,Marketing & Finance,60,71,68
223,M,82.0,Others,72.0,Others,Commerce,66.0,Commerce,0,MAT,1,26.53,26.53,60.39,Marketing & Finance,72,56,62
224,F,76.0,CBSE,73.0,CBSE,Science,59.6,Engineering,0,MAT,1,58.0,58.0,55.47,Marketing & HR,58,59,58
225,M,44.4,Others,60.6,Others,Commerce,61.0,Management,0,K-MAT,1,63.0,63.0,56.98,Marketing & Finance,52,62,54
226,M,68.0,Others,67.0,Others,Science,69.0,Engineering,0,MAT,1,87.5,87.5,60.69,Marketing & IB,61,71,57
227,M,67.0,Others,76.0,Others,Commerce,60.0,Management,0,MAT,1,48.38,48.38,50.83,Marketing & HR,54,57,51
228,M,55.0,Others,50.0,Others,Science,57.0,Management,0,MAT,1,49.7,49.7,59.71,Marketing & HR,64,74,54
229,F,51.0,CBSE,56.0,CBSE,Commerce,62.0,Commerce,1,MAT,1,60.0,60.0,58.79,Marketing & HR,61,65,82
230,M,56.5,Others,61.0,Others,Commerce,60.0,Management,1,,0,0.0,0.0,59.5,Marketing & HR,52,69,67
231,F,81.0,Others,72.0,Others,Science,65.0,Computer Applications,1,MAT,1,62.0,62.0,62.36,Marketing & HR,68,75,79
